"name","long_tender_text"
K131-SA-0400.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 1,40 mm Pb bei einer Röhrenspannung von 100 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,85 m)</br>Wanddicke: 100 mm</br>Bewertetes Schalldämm-Maß Rw = 59,7 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 75, Achsabstand 312,5 mm, Boden und Deckenanschlüsse mit Randprofilen UW 75/40.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 60 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0410.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 1,00 mm Pb bei einer Röhrenspannung von 125 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,85 m)</br>Wanddicke: 100 mm</br>Bewertetes Schalldämm-Maß Rw = 59,7 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 75, Achsabstand 312,5 mm, Boden und Deckenanschlüsse mit Randprofilen UW 75/40.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 60 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0420.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 0,80 mm Pb bei einer Röhrenspannung von 150 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,85 m)</br>Wanddicke: 100 mm</br>Bewertetes Schalldämm-Maß Rw = 59,7 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 75, Achsabstand 312,5 mm, Boden und Deckenanschlüsse mit Randprofilen UW 75/40.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 60 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0430.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 0,90 mm Pb bei einer Röhrenspannung von 60 kV,
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,10 m)</br>Wanddicke: 125 mm</br>Bewertetes Schalldämm-Maß Rw = 60,9 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 100, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 100/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 80 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0440.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 1,20 mm Pb bei einer Röhrenspannung von 70 kV,
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,10 m)</br>Wanddicke: 125 mm</br>Bewertetes Schalldämm-Maß Rw = 60,9 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 100, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 100/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 80 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0450.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 1,50 mm Pb bei einer Röhrenspannung von 80 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,10 m)</br>Wanddicke: 125 mm</br>Bewertetes Schalldämm-Maß Rw = 60,9 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 100, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 100/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 80 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0460.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 1,40 mm Pb bei einer Röhrenspannung von 90 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,10 m)</br>Wanddicke: 125 mm</br>Bewertetes Schalldämm-Maß Rw = 60,9 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 100, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 100/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 80 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0470.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 1,40 mm Pb bei einer Röhrenspannung von 100 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,10 m)</br>Wanddicke: 125 mm</br>Bewertetes Schalldämm-Maß Rw = 60,9 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 100, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 100/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 80 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0480.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 1,00 mm Pb bei einer Röhrenspannung von 125 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,10 m)</br>Wanddicke: 125 mm</br>Bewertetes Schalldämm-Maß Rw = 60,9 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 100, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 100/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 80 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
K131-SA-0490.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 2.</br>Bleigleichwert von 0,80 mm Pb bei einer Röhrenspannung von 150 kV,_x000D_
Anzahl Strahlenschutzplatten Safeboard: 2x 12,5 mm.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,10 m)</br>Wanddicke: 125 mm</br>Bewertetes Schalldämm-Maß Rw = 60,9 dB</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 100, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 100/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 80 mm,
Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Wärmeleitfähigkeit λ ≤ 0,035 W/(mK),*
Produkt: Knauf Insulation Mineral Plus KP 034 oder gleichwertig.</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf Safeboard, 
einlagig, Plattendicke 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten in Anlehnung an Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Technische Broschüre Knauf Sicherheitstechnik.
System: Knauf Strahlenschutzwand K131.de"
